Țara de origine poate fi diferită în momentul expedierii.
Informațiile HTSUS și ECCN sunt afișate doar în scop informativ și nu sunt o reprezentare sau o garanție a acurateței sau fiabilității acestor clasificări. Toate informațiile sunt afișate „ca atare” și sunt supuse modificărilor fără înștiințare. Orice utilizare a informațiilor furnizate se face fără nicio responsabilitate din partea Digi-Key și la riscul utilizatorului.
Index,Manufacturer Part Number,Nume producător,Descriere,Disponibilitate,Starea stocului,% uzură prin frecare,Cantitate solicitată 1,Cantitate pachet 1,Tip pachet 1,Număr de catalog Digi-Key 1,Preț unitar 1,Preț total 1,Cantitate minimă pentru comandă 1,Referință client,Număr de catalog solicitat,Săptămâni livrare,Fișă de date,Indicator de referință,Tarif de import SUA,Notă,Stare piesă,Status RoHS,Nivel sensibilitate la umezeală (MSL),ECCN,HTSUS,Țara de origine,Informații referitoare la mediul înconjurător,Numere de catalog originale,Imagine,Note referitoare la produs
1,1825910-6,TE Connectivity ALCOSWITCH Switches,SWITCH TACTILE SPST-NO 0.05A 24V,81.388,Pe stoc,,2,2,Bulk,450-1650-ND,"0,15000","0,30 €",1,,1825910-6,16,https://www.te.com/usa-en/product-1825910-6.datasheet.pdf,,	-,,Activă,Conform cu ROHS3,1 (nelimitat),EAR99,8536.50.9031,China,http://www.te.com/commerce/alt/SinglePartSearch.do?PN=FSM4JH&dest=stmt,1825910-6,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/17_FSM4JH.jpg,
2,LTC4054ES5-4.2#TRMPBF,Analog Devices Inc.,IC BATT CHG LI-ION 1CEL TSOT23-5,8.223,Pe stoc,,1,1,Cut Tape (CT),505-LTC4054ES5-4.2#TRMPBFCT-ND,"5,89000","5,89 €",1,,505-LTC4054ES5-4.2#TRMPBFTR-ND,10,https://www.analog.com/media/en/technical-documentation/data-sheets/405442xf.pdf,,	-,,Activă,Conform cu ROHS3,1 (nelimitat),EAR99,8542.39.0060,Malaysia,,505-LTC4054ES5-4.2#TRMPBFTR-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4994/505%7E05-08-1635%7ES%2C-S5%7E5.JPG,
3,ESP32-WROVER-E-N16R8,Espressif Systems,RF TXRX MOD BT WIFI PCB TH SMD,502,Pe stoc,,1,1,Cut Tape (CT),1965-ESP32-WROVER-E-N16R8CT-ND,"3,05000","3,05 €",1,,1965-ESP32-WROVER-E-N16R8TR-ND,8,https://www.espressif.com/sites/default/files/documentation/esp32-wrover-e_esp32-wrover-ie_datasheet_en.pdf,,Se poate aplica expedierilor către SUA.,,Activă,Necunoscut,3 (168 ore),5A992C,8517.62.0090,China,,1965-ESP32-WROVER-E-N16R8TR-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/488/MFG_ESP32-WROVER.jpg,
4,FT231XS-R,"FTDI, Future Technology Devices International Ltd",IC USB SERIAL FULL UART 20SSOP,41.399,Pe stoc,,1,1,Cut Tape (CT),768-1129-1-ND,"2,18000","2,18 €",1,,FT231XS-R,12,https://ftdichip.com/wp-content/uploads/2021/10/DS_FT231X.pdf,,	-,,Activă,Conform cu ROHS3,3 (168 ore),EAR99,8542.39.0060,Taiwan,https://ftdichip.com/wp-content/uploads/2020/08/Rohs-Statement-Devices-QD_104.pdf|https://ftdichip.com/wp-content/uploads/2021/09/REACH-Statement-IC-Products-FTDI-QD_100.pdf,FT231XS-R,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/607/MFG_FT231XS.jpg,
5,FDN340P,onsemi,MOSFET P-CH 20V 2A SUPERSOT3,65.917,Pe stoc,,4,4,Cut Tape (CT),FDN340PCT-ND,"0,41000","1,64 €",1,,FDN340PTR-ND,9,https://www.onsemi.com/pdf/datasheet/fdn340p-d.pdf,,	-,,Activă,Conform cu ROHS3,1 (nelimitat),EAR99,8541.21.0095,Philippines,https://www.onsemi.com/site/pdf/RoHS-statement.pdf|https://www.onsemi.com/site/pdf/REACH-compliance-statement.pdf|https://www.onsemi.com/PowerSolutions/MaterialComposition.do?export=pdf&opnId=FDN340P,FDN340PTR-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2588/SOT-23-3%20PKG.jpg,
6,"BC817-40,235",Nexperia USA Inc.,TRANS NPN 45V 0.5A TO236AB,60.497,Pe stoc,,2,2,Cut Tape (CT),1727-6186-1-ND,"0,09000","0,18 €",1,,"BC817-40,235",6,https://assets.nexperia.com/documents/data-sheet/BC817_SER.pdf,,Se poate aplica expedierilor către SUA.,,Activă,Conform cu ROHS3,1 (nelimitat),EAR99,8541.21.0075,China,,BC817,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5527/1727%7ESOT23-3%7ES23%7E3.jpg,
7,BD48E30G-MTR,Rohm Semiconductor,IC SUPERVISOR 1 CHANNEL 5SSOP,2.980,Pe stoc,,1,1,Cut Tape (CT),BD48E30G-MCT-ND,"1,05000","1,05 €",1,,BD48E30G-MTR,7,https://www.rohm.com/datasheet?p=BD48E30G-M&dist=Digi-key&media=referral&source=digi-key.com&campaign=Digi-key,,	-,,Activă,Conform cu ROHS3,1 (nelimitat),EAR99,8542.39.0060,Philippines,,BD48E27G-MTR-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2472/5-SSOP_SSOP5%20Pkg.jpg,
8,1042P,Keystone Electronics,BATTERY HOLDER 18650 SMD,21.168,Pe stoc,,1,1,Bulk,36-1042P-ND,"4,28000","4,28 €",1,,36-1042P-ND,14,https://www.keyelco.com/userAssets/file/M65p27.pdf,,	-,,Activă,Conform cu ROHS3,2 (1 an),EAR99,8536.69.4040,United States,https://www.keyelco.com/userAssets/file/RoHS_Statement.pdf|https://www.keyelco.com/userAssets/file/reach.pdf|https://www.keyelco.com/userAssets/file/Keystone-Prop65%20Declare2022.pdf,36-1042P-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/23/MFG_1042P.jpg,
9,0473460001,Molex,CONN RCPT USB2.0 MICRO B SMD R/A,32.455,Pe stoc,,1,1,Cut Tape (CT),WM17141CT-ND,"1,18000","1,18 €",1,,WM17141TR-ND,13,https://www.molex.com/en-us/products/part-detail/473460001?display=pdf,,Se poate aplica expedierilor către SUA.,,Activă,Conform cu ROHS3,1 (nelimitat),EAR99,8536.69.4040,China,https://www.molex.com/datasheets/rohspdf/0473460001_rohs.pdf,WM17141TR-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/594/0473460001.jpg,
10,RC0603JR-07180KL,YAGEO,RES 180K OHM 5% 1/10W 0603,1.141.231,Pe stoc,,1,1,Cut Tape (CT),311-180KGRCT-ND,"0,09000","0,09 €",1,,RC0603JR-07180KL,18,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,	-,,Activă,Conform cu ROHS3,1 (nelimitat),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,RC0603JR-07180KL,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0603-%281608-metric%29.jpg,
